"Date(UTC)","Julian Date","MET","TS","Photon Flux [0.1-100 GeV](photons cm-2 s-1)","Photon Flux Error(photons cm-2 s-1)","Photon Index","Photon Index Error","Sun Distance","Fit Tolerance","MINUIT Return Code","Analysis Log"
"Jan 07 2011","2455569","316094401","122.11","7.15e-8","1.74e-8","-1.72","-","29.68","1e-8","0","bin127.log"
"Jan 14 2011","2455576","316699201","36.64","4.35e-8","1.40e-8","-1.72","-","36.60","1e-8","0","bin128.log"
"Jan 21 2011","2455583","317304001","39.73","4.04e-8","1.34e-8","-1.72","-","43.76","1e-8","0","bin129.log"
"Jan 28 2011","2455590","317908801","56.91","4.35e-8","1.41e-8","-1.72","-","51.00","1e-8","0","bin130.log"
"Feb 04 2011","2455596","318513601","11.46","1.48e-8","9.27e-9","-1.72","-","58.24","1e-8","0","bin131.log"
"Feb 11 2011","2455603","319118401","1.89","< 3.70e-8","-","-","-","65.42","1e-8","0","bin132.log"
"Feb 18 2011","2455610","319723201","12.74","2.01e-8","1.09e-8","-1.72","-","72.54","1e-8","0","bin133.log"
"Feb 25 2011","2455617","320328001","27.78","4.61e-8","1.71e-8","-1.72","-","79.57","1e-8","0","bin134.log"
"Mar 04 2011","2455627","320932801","21.76","3.38e-8","1.36e-8","-1.72","-","86.53","1e-8","0","bin135.log"
"Mar 11 2011","2455634","321537601","48.34","3.07e-8","1.10e-8","-1.72","-","93.41","1e-8","0","bin136.log"
"Mar 18 2011","2455641","322142401","63.26","5.56e-8","1.60e-8","-1.72","-","100.23","1e-8","0","bin137.log"
"Mar 25 2011","2455648","322747201","133.42","7.08e-8","1.44e-8","-1.72","-","107.01","1e-8","0","bin138.log"
"Apr 01 2011","2455654","323352001","63.69","6.40e-8","1.59e-8","-1.72","-","113.77","1e-8","0","bin139.log"
"Apr 08 2011","2455661","323956801","85.57","6.45e-8","1.56e-8","-1.72","-","120.52","1e-8","0","bin140.log"
"Apr 15 2011","2455668","324561601","71.88","6.88e-8","1.99e-8","-1.72","-","127.29","1e-8","0","bin141.log"
"Apr 22 2011","2455675","325166401","72.14","8.69e-8","2.01e-8","-1.72","-","134.09","1e-8","0","bin142.log"
"Apr 29 2011","2455682","325771201","97.74","6.92e-8","1.62e-8","-1.72","-","140.93","1e-8","0","bin143.log"
"May 06 2011","2455689","326376001","92.96","6.92e-8","1.65e-8","-1.72","-","147.83","1e-8","0","bin144.log"
"May 13 2011","2455696","326980801","61.34","6.33e-8","1.80e-8","-1.72","-","154.76","1e-8","0","bin145.log"
"May 20 2011","2455703","327585601","68.88","5.80e-8","1.60e-8","-1.72","-","161.70","1e-8","0","bin146.log"
"May 27 2011","2455710","328190401","96.91","7.63e-8","1.84e-8","-1.72","-","168.48","1e-8","0","bin147.log"
"Jun 03 2011","2455717","328795201","35.15","3.37e-8","1.23e-8","-1.72","-","174.22","1e-8","0","bin148.log"
"Jun 10 2011","2455724","329400001","49.76","4.79e-8","1.58e-8","-1.72","-","173.69","1e-8","0","bin149.log"
"Jun 17 2011","2455731","330004801","36.87","4.01e-8","1.39e-8","-1.72","-","167.63","1e-8","0","bin150.log"
"Jun 24 2011","2455738","330609601","45.74","3.86e-8","1.33e-8","-1.72","-","160.68","1e-8","0","bin151.log"
"Jul 01 2011","2455745","331214401","62.92","5.39e-8","1.58e-8","-1.72","-","153.59","1e-8","0","bin152.log"
"Jul 08 2011","2455752","331819201","32.36","5.07e-8","1.64e-8","-1.72","-","146.51","1e-8","0","bin153.log"
"Jul 15 2011","2455759","332424001","36.74","6.00e-8","1.66e-8","-1.72","-","139.51","1e-8","0","bin154.log"
"Jul 22 2011","2455766","333028801","38.49","4.94e-8","1.57e-8","-1.72","-","132.62","1e-8","0","bin155.log"
"Jul 29 2011","2455773","333633601","23.52","3.35e-8","1.39e-8","-1.72","-","125.88","1e-8","0","bin156.log"
"Aug 05 2011","2455780","334238401","18.2","2.31e-8","1.20e-8","-1.72","-","119.30","1e-8","0","bin157.log"
"Aug 12 2011","2455787","334843201","18.09","2.59e-8","1.25e-8","-1.72","-","112.88","1e-8","0","bin158.log"
"Aug 19 2011","2455794","335448001","12.98","2.69e-8","1.18e-8","-1.72","-","106.62","1e-8","0","bin159.log"
"Aug 26 2011","2455801","336052801","24.03","1.91e-8","1.05e-8","-1.72","-","100.52","1e-8","0","bin160.log"
